"acceptedName","specimenCount","propContemporary","logSpecimenCount","yearPublished","Threatened"
"Agaricus kipukae",13,0.923076923076923,2.56494935746154,1999,NA
"Agaricus lanatorubescens",1,1,0,1999,NA
"Agaricus langei",1473,0.730482009504413,7.29505641646263,1950,NA
"Agaricus lanipes",201,0.631840796019901,5.30330490805908,1938,NA
"Agaricus lilaceps",54,0.574074074074074,3.98898404656427,1938,NA
"Agaricus litoralis",444,0.704954954954955,6.09582456243222,1946,NA
"Agaricus macrocarpus",248,0.689516129032258,5.51342874616498,1952,NA
"Agaricus magniceps",7,0,1.94591014905531,1899,NA
"Agaricus micromegethus",101,0.356435643564356,4.61512051684126,1902,NA
"Agaricus minimus",6,0.333333333333333,1.79175946922805,1912,NA
"Agaricus moelleri",1161,0.771748492678725,7.05703698169789,1910,NA
"Agaricus moellerianus",101,0.712871287128713,4.61512051684126,1950,NA
"Agaricus nigrobrunnescens",1,1,0,1999,NA
"Agaricus nobelianus",3,0,1.09861228866811,1979,NA
"Agaricus pattersoniae",15,0.8,2.70805020110221,1907,"1"
"Agaricus pearsonii",5,0.8,1.6094379124341,1951,NA
"Agaricus perobscurus",26,0.461538461538462,3.25809653802148,1985,NA
"Agaricus pilosporus",15,0.733333333333333,2.70805020110221,1904,NA
"Agaricus placomyces",930,0.279569892473118,6.8351845861473,1878,NA
"Agaricus pocillator",108,0.648148148148148,4.68213122712422,1941,NA
"Agaricus porphyrizon",477,0.677148846960168,6.16751649088834,1885,NA
"Agaricus porphyrocephalus",130,0.638461538461538,4.86753445045558,1950,NA
"Agaricus praemagniceps",8,0,2.07944154167984,1938,NA
"Agaricus praemagnus",7,0,1.94591014905531,1918,NA
"Agaricus praerimosus",13,0.384615384615385,2.56494935746154,1898,NA
"Agaricus projectellus",10,0.1,2.30258509299405,1941,NA
"Agaricus pseudoplacomyces",8,0,2.07944154167984,1945,NA
"Agaricus rhoadsii",25,0.48,3.2188758248682,1939,NA
"Agaricus rotalis",44,0.977272727272727,3.78418963391826,1999,NA
"Agaricus rubribrunnescens",32,0.09375,3.46573590279973,1922,NA
"Agaricus rubronanus",3,0.333333333333333,1.09861228866811,1985,NA
"Agaricus rutilescens",31,0.0645161290322581,3.43398720448515,1904,NA
"Agaricus sagatus",10,0,2.30258509299405,1821,NA
"Agaricus semotus",1580,0.639873417721519,7.36518012602101,1863,NA
"Agaricus sequoiae",13,0.153846153846154,2.56494935746154,1985,NA
"Agaricus smithianus",52,0.692307692307692,3.95124371858143,1985,NA
"Agaricus sterlingii",1,0,0,1902,NA
"Agaricus subalachuanus",5,0,1.6094379124341,1942,NA
"Agaricus subarvensis",4,0,1.38629436111989,1942,NA
"Agaricus subcomtulus",4,0,1.38629436111989,1945,NA
"Agaricus subfloccosus",118,0.355932203389831,4.77068462446567,1926,NA
"Agaricus subfloridanus",3,0,1.09861228866811,1942,NA
"Agaricus subhortensis",3,0.333333333333333,1.09861228866811,1946,NA
"Agaricus subnitens",6,0,1.79175946922805,1909,NA
"Agaricus suboreades",6,0,1.79175946922805,1942,NA
"Agaricus subperonatus",424,0.620283018867924,6.04973345523196,1926,NA
"Agaricus subponderosus",10,0,2.30258509299405,1945,NA
"Agaricus subrufescentoides",13,0.384615384615385,2.56494935746154,1912,NA
"Agaricus subrutilescens",613,0.624796084828711,6.41836493593621,1926,NA
"Agaricus subsubensis",5,0.4,1.6094379124341,2008,NA
"Agaricus sulphureiceps",10,0,2.30258509299405,1945,NA
"Agaricus summensis",12,0.916666666666667,2.484906649788,1985,NA
"Agaricus sylvaticus",5563,0.699802264964947,8.62389281007529,1774,"0"
"Agaricus sylvicola",6457,0.690103763357596,8.77292009262647,1835,NA
"Agaricus tantulus",2,0,0.693147180559945,1979,NA
"Agaricus tenuivolvatus",9,0.555555555555556,2.19722457733622,1952,NA
"Agaricus urinascens",1525,0.664262295081967,7.32974968904151,1938,NA
"Agaricus vinaceovirens",14,0.214285714285714,2.63905732961526,1985,NA
"Agaricus weberianus",1,0,0,1939,NA
"Agaricus wilmotii",5,0,1.6094379124341,1946,NA
"Agaricus xanthodermoides",6,0,1.79175946922805,1945,NA
"Agaricus xanthodermus",4755,0.84521556256572,8.46695197497949,1876,NA
"Agaricus xeretes",1,0,0,1999,NA
"Agaricus zelleri",27,0.592592592592593,3.29583686600433,1885,NA
"Agrocybe acericola",412,0.259708737864078,6.02102334934953,1873,NA
"Agrocybe amara",15,0.0666666666666667,2.70805020110221,1917,NA
"Agrocybe arvalis",374,0.53475935828877,5.92425579741453,1821,NA
"Agrocybe besseyi",16,0.1875,2.77258872223978,1909,NA
"Agrocybe broadwayi",15,0.333333333333333,2.70805020110221,1912,NA
"Agrocybe brunneola",22,0.227272727272727,3.09104245335832,1884,NA
"Agrocybe collybiiformis",3,0,1.09861228866811,1941,NA
"Agrocybe deceptiva",2,0,0.693147180559945,1981,NA
"Agrocybe dennisii",4,0.5,1.38629436111989,1915,NA
"Agrocybe dura",1045,0.559808612440191,6.95177216439891,1788,"0"
"Agrocybe earlei",4,0.25,1.38629436111989,1912,NA
"Agrocybe edulis",2,0,0.693147180559945,1897,NA
"Agrocybe firma",399,0.606516290726817,5.98896141688986,1902,NA
"Agrocybe gasteromycetoides",2,0,0.693147180559945,1977,NA
"Agrocybe hesleri",3,0,1.09861228866811,1911,NA
"Agrocybe hortensis",14,0,2.63905732961526,1919,NA
"Agrocybe howeana",35,0.114285714285714,3.55534806148941,1874,NA
"Agrocybe illicita",8,0,2.07944154167984,1872,NA
"Agrocybe leechii",1,0,0,1946,NA
"Agrocybe lenticeps",3,0,1.09861228866811,1878,NA
"Agrocybe ludoviciana",1,0,0,1917,NA
"Agrocybe molesta",413,0.767554479418886,6.02344759296103,1828,NA
"Agrocybe occidentalis",1,0,0,1983,NA
"Agrocybe pallida",2,0,0.693147180559945,1912,NA
"Agrocybe paludosa",76,0.289473684210526,4.33073334028633,1921,NA
"Agrocybe pascuensis",3,0,1.09861228866811,1917,NA
"Agrocybe pediades",4426,0.703343877089923,8.39525152061099,1789,NA
"Agrocybe platysperma",33,0.0303030303030303,3.49650756146648,1898,NA
"Agrocybe praecox",6103,0.663116500081927,8.71653573254449,1774,NA
"Agrocybe pruinatipes",12,0.166666666666667,2.484906649788,1878,NA
"Agrocybe pusiola",129,0.511627906976744,4.85981240436167,1774,NA
"Agrocybe putaminum",547,0.921389396709324,6.30444880242198,1913,NA
"Agrocybe retigera",94,0.638297872340426,4.54329478227,1922,NA
"Agrocybe rivulosa",351,0.997150997150997,5.86078622346587,2003,NA
"Agrocybe smithii",45,0.355555555555556,3.80666248977032,1983,NA
"Agrocybe sororia",76,0.434210526315789,4.33073334028633,1907,NA
"Agrocybe subamara",6,0,1.79175946922805,1942,NA
"Agrocybe subsiparioides",2,0,0.693147180559945,1945,NA
"Agrocybe tabacina",20,0.1,2.99573227355399,1815,NA
"Agrocybe vervacti",364,0.629120879120879,5.89715386763674,1821,NA
"Agrocybe washingtonensis",2,0,0.693147180559945,1912,NA
"Albatrellopsis confluens",4339,0.72781746946301,8.37539918579835,1774,"0"
"Albatrellopsis ellisii",91,0.142857142857143,4.51085950651685,1878,"0"
"Albatrellopsis flettii",307,0.618892508143323,5.7268477475872,1941,"0"
"Albatrellus arizonicus",7,0.571428571428571,1.94591014905531,1991,NA
"Albatrellus avellaneus",89,0.831460674157303,4.48863636973214,1972,"0"
"Albatrellus ovinus",6542,0.734790583919291,8.78599820809833,1774,NA
"Albatrellus subrubescens",1368,0.842105263157895,7.2211050981825,1940,NA
"Albomagister subaustralis",27,0.592592592592593,3.29583686600433,1942,NA
"Albotricha agrostina",19,0.263157894736842,2.94443897916644,1878,NA
"Aleuria aurantia",10640,0.730357142857143,9.27237576289563,1778,NA
"Aleuria cestrica",67,0.402985074626866,4.20469261939097,1885,NA
