acceptedName,specimenCount,propContemporary,yearPublished,medianPrediction,lower95ConfInt,upper95ConfInt
Amanita pantherina,10848,0.81,1783,0.006,0.001,0.025
Lactarius tabidus,9152,0.749,1838,0.006,0.002,0.02
Hydnoporia tabacina,11618,0.705,1792,0.007,0.001,0.026
Tapinella atrotomentosa,10620,0.821,1783,0.007,0.001,0.025
Xerocomellus chrysenteron,11141,0.752,1789,0.007,0.001,0.026
Volvopluteus gloiocephalus,8854,0.911,1803,0.007,0.001,0.021
Sarcomyxa serotina,9868,0.844,1793,0.007,0.001,0.024
Nectria cinnabarina,13879,0.653,1753,0.007,0.001,0.037
Rhodocollybia butyracea,10778,0.765,1792,0.007,0.001,0.025
Dacrymyces stillatus,10736,0.755,1796,0.007,0.001,0.025
Hymenopellis radicata,10590,0.797,1786,0.007,0.001,0.026
Russula nobilis,5200,0.818,1920,0.007,0.002,0.019
Leccinum variicolor,3616,0.824,1969,0.007,0.002,0.022
Russula betularum,4122,0.781,1960,0.007,0.002,0.021
Trametes cinnabarina,11844,0.717,1776,0.007,0.001,0.03
Russula cyanoxantha,11206,0.771,1774,0.007,0.001,0.03
Jackrogersella multiformis,10671,0.755,1791,0.007,0.001,0.026
Leotia lubrica,11456,0.757,1771,0.007,0.001,0.03
Sparassis crispa,9911,0.893,1772,0.007,0.001,0.028
Infundibulicybe gibba,10708,0.748,1790,0.007,0.001,0.027
Trametes coccinea,6682,0.914,1851,0.007,0.002,0.019
Szczepkamyces campestris,5949,0.902,1872,0.007,0.002,0.019
Gliophorus psittacinus,9792,0.873,1774,0.007,0.001,0.029
Hymenochaete rubiginosa,10191,0.779,1785,0.007,0.001,0.028
Mycena galopus,9639,0.755,1800,0.008,0.002,0.027
Podofomes mollis,9643,0.733,1805,0.008,0.002,0.026
Lactarius quietus,8343,0.793,1821,0.008,0.002,0.023
Hygrocybe insipida,3885,0.932,1923,0.008,0.003,0.021
Aleuria aurantia,10640,0.73,1778,0.008,0.001,0.032
Pholiota squarrosa,9928,0.829,1770,0.008,0.001,0.032
Gymnopilus junonius,7420,0.892,1821,0.008,0.002,0.023
Mucidula mucida,8300,0.893,1794,0.008,0.002,0.027
Pleurotus pulmonarius,7256,0.899,1821,0.008,0.002,0.023
Clavulina coralloides,10972,0.776,1753,0.008,0.001,0.039
Paragymnopus perforans,9293,0.795,1789,0.008,0.002,0.029
Cerrena unicolor,11770,0.571,1789,0.008,0.001,0.035
Odonticium romellii,2786,0.944,1958,0.008,0.002,0.024
Vuilleminia comedens,8695,0.833,1794,0.008,0.002,0.028
Hygrocybe acutoconica,5253,0.835,1890,0.008,0.003,0.021
Trametes hirsuta,11433,0.591,1788,0.008,0.001,0.035
Ascocoryne sarcoides,9496,0.79,1781,0.008,0.001,0.031
Sarcodon imbricatus,10486,0.801,1753,0.008,0.001,0.04
Russula foetens,9297,0.745,1796,0.008,0.002,0.03
Laetiporus gilbertsonii,1685,0.974,2001,0.008,0.002,0.027
Trichaptum biforme,8971,0.621,1833,0.008,0.002,0.027
Tylopilus felleus,9370,0.76,1788,0.009,0.002,0.031
Cortinarius trivialis,4830,0.752,1915,0.009,0.003,0.023
Peniophora incarnata,9260,0.709,1801,0.009,0.002,0.03
Lactarius scrobiculatus,9139,0.835,1772,0.009,0.001,0.034
Sarcodon squamosus,7804,0.978,1774,0.009,0.002,0.032
Phellinus lundellii,3135,0.738,1972,0.009,0.002,0.028
Stereum sanguinolentum,9237,0.679,1805,0.009,0.002,0.031
Xylaria polymorpha,9228,0.709,1797,0.009,0.002,0.032
Lactarius trivialis,8028,0.751,1815,0.009,0.002,0.028
Collybiopsis confluens,9016,0.722,1796,0.009,0.002,0.032
Hypholoma lateritium,9473,0.757,1774,0.009,0.002,0.037
Laccaria bicolor,3785,0.77,1937,0.009,0.003,0.026
Anthoporia albobrunnea,3929,0.882,1911,0.009,0.003,0.024
Schizopora paradoxa,10391,0.593,1794,0.009,0.002,0.036
Ischnoderma benzoinum,8181,0.81,1794,0.009,0.002,0.031
Trichaptum fuscoviolaceum,8254,0.828,1788,0.009,0.002,0.032
Byssomerulius corium,9199,0.719,1789,0.009,0.002,0.034
Mycena stipata,2403,0.782,1987,0.009,0.002,0.031
Collybiopsis peronata,8928,0.747,1788,0.009,0.002,0.034
Laccaria proxima,5082,0.825,1881,0.009,0.003,0.023
Atheniella flavoalba,6235,0.857,1838,0.009,0.003,0.025
Entoloma conferendum,5684,0.734,1881,0.009,0.003,0.024
Paralepista flaccida,8941,0.808,1772,0.01,0.002,0.037
Clitocybe odora,9560,0.74,1772,0.01,0.002,0.039
Lentinus brumalis,9772,0.651,1789,0.01,0.002,0.037
Hygrocybe ceracea,7726,0.904,1781,0.01,0.002,0.034
Xylodon radula,8051,0.772,1801,0.01,0.002,0.032
Phellinopsis conchata,9082,0.698,1792,0.01,0.002,0.035
Hericium coralloides,8824,0.796,1772,0.01,0.002,0.038
Heterobasidion annosum,10015,0.602,1790,0.01,0.002,0.038
Stereum ostrea,8798,0.588,1822,0.01,0.002,0.033
Helvella crispa,8707,0.814,1770,0.01,0.002,0.039
Pseudohydnum gelatinosum,9035,0.817,1760,0.01,0.002,0.042
Phyllotopsis nidulans,7435,0.844,1798,0.01,0.002,0.031
Hygrocybe quieta,2826,0.873,1947,0.01,0.003,0.027
Calvatia gigantea,7359,0.897,1786,0.01,0.002,0.034
Russula acrifolia,1952,0.797,1997,0.01,0.003,0.034
Inonotus leporinus,5169,0.905,1852,0.01,0.004,0.025
Clathrus archeri,4671,0.955,1859,0.01,0.004,0.025
Auricularia mesenterica,8284,0.801,1780,0.01,0.002,0.037
Chaetodermella luna,2888,0.863,1943,0.01,0.003,0.028
Morchella americana,1176,0.986,2012,0.01,0.003,0.033
Gyromitra esculenta,7639,0.764,1805,0.01,0.002,0.032
Skeletocutis carneogrisea,2129,0.828,1982,0.01,0.003,0.032
Agaricus xanthodermus,4755,0.845,1876,0.01,0.004,0.025
Craterellus cornucopioides,9899,0.72,1753,0.011,0.001,0.05
Inocutis rheades,6194,0.856,1825,0.011,0.003,0.029
Hygrocybe punicea,6685,0.803,1821,0.011,0.003,0.03
Lepiota magnispora,3758,0.826,1912,0.011,0.004,0.027
Amanita virosa,6487,0.747,1838,0.011,0.003,0.029
Amanita phalloides,10305,0.785,1723,0.011,0.001,0.063
Pertusaria pertusa,10902,0.553,1767,0.011,0.001,0.051
Lenzites betulinus,10739,0.62,1753,0.011,0.001,0.053
Russula delica,6788,0.7,1838,0.011,0.003,0.03
