acceptedName,specimenCount,propContemporary,yearPublished,medianPrediction,lower95ConfInt,upper95ConfInt
Postia tephroleuca,4161,0.694,1821,0.026,0.009,0.062
Morchella importuna,595,0.83,2012,0.026,0.009,0.065
Scutellinia scutellata,6839,0.551,1753,0.026,0.004,0.103
Phellinus pomaceus,4693,0.742,1790,0.026,0.007,0.072
Mycena abramsii,1841,0.795,1916,0.026,0.011,0.055
Fuscopostia fragilis,3948,0.691,1828,0.026,0.009,0.061
Albatrellus subrubescens,1368,0.842,1940,0.026,0.011,0.058
Russula aquosa,1680,0.74,1933,0.026,0.011,0.058
Lactarius turpis,3603,0.775,1828,0.027,0.01,0.059
Bovista plumbea,5485,0.563,1795,0.027,0.006,0.078
Cortinarius croceus,4959,0.757,1774,0.027,0.006,0.08
Clavariadelphus truncatus,3504,0.74,1838,0.027,0.01,0.057
Russula cessans,1230,0.84,1950,0.027,0.011,0.059
Russula ionochlora,1249,0.813,1952,0.027,0.011,0.06
Aureonarius limonius,3749,0.789,1818,0.027,0.009,0.062
Mycena renati,2357,0.866,1873,0.027,0.012,0.055
Mycena leaiana,3102,0.799,1845,0.027,0.011,0.057
Omphalotus illudens,3370,0.857,1822,0.027,0.01,0.061
Phanerochaete sordida,3684,0.496,1873,0.027,0.01,0.064
Fuscopostia leucomallella,1747,0.65,1940,0.027,0.011,0.063
Tricholoma columbetta,3795,0.75,1821,0.027,0.009,0.063
Mycena zephirus,3486,0.846,1818,0.027,0.01,0.062
Ramaria testaceoflava,1964,0.934,1884,0.027,0.012,0.056
Phaeotremella foliacea,4413,0.718,1800,0.027,0.008,0.07
Hygrocybe aurantiosplendens,1034,0.91,1954,0.028,0.011,0.061
Inocybe napipes,2187,0.631,1917,0.028,0.011,0.061
Daldinia concentrica,7710,0.66,1690,0.028,0.003,0.174
Lactarius indigo,3341,0.85,1822,0.028,0.01,0.062
Exidiopsis effusa,1985,0.888,1888,0.028,0.013,0.057
Russula romellii,1923,0.768,1910,0.028,0.012,0.057
Diatrype stigma,5880,0.503,1787,0.028,0.006,0.09
Ischnoderma resinosum,4859,0.76,1772,0.028,0.007,0.084
Cortinarius quarciticus,595,0.934,1994,0.028,0.011,0.066
Ascocoryne cylichnium,3058,0.736,1853,0.028,0.012,0.059
Lactarius chrysorrheus,3557,0.69,1838,0.028,0.011,0.061
Russula sardonia,4119,0.783,1796,0.028,0.008,0.073
Crepidotus mollis,4827,0.747,1774,0.028,0.007,0.084
Lichenomphalia umbellifera,5807,0.669,1753,0.028,0.005,0.102
Meripilus sumstinei,1507,0.983,1904,0.028,0.013,0.058
Hygrophorus hedrychii,1728,0.766,1920,0.029,0.012,0.059
Tricholoma guldeniae,672,0.725,2009,0.029,0.01,0.073
Mycena rosella,4171,0.76,1797,0.029,0.009,0.073
Neofavolus alveolaris,3715,0.774,1815,0.029,0.01,0.066
Russula fragilis,5565,0.662,1762,0.029,0.006,0.096
Stereum gausapatum,4151,0.597,1828,0.029,0.01,0.069
Scleroderma areolatum,3497,0.811,1818,0.029,0.01,0.065
Chroogomphus rutilus,5863,0.647,1753,0.029,0.005,0.105
Calonarius meinhardii,992,0.923,1952,0.029,0.012,0.063
Fuscoporia ferrea,3880,0.668,1825,0.029,0.01,0.067
Phallus ravenelii,2059,0.922,1873,0.029,0.013,0.06
Cortinarius glandicolor,718,0.667,2009,0.029,0.01,0.078
Lactarius repraesentaneus,2423,0.715,1885,0.029,0.013,0.06
Cortinarius violaceus,4902,0.815,1753,0.03,0.006,0.099
Antrodiella serpula,2417,0.703,1887,0.03,0.013,0.06
Cordyceps militaris,5343,0.723,1753,0.03,0.006,0.103
Clathrus ruber,3577,0.86,1801,0.03,0.01,0.073
Guepiniopsis alpina,2081,0.725,1901,0.03,0.013,0.061
Phloeomana speirea,3438,0.819,1815,0.03,0.011,0.068
Psilocybe ovoideocystidiata,421,0.99,2007,0.03,0.011,0.07
Diatrype bullata,4086,0.802,1787,0.03,0.009,0.079
Lepiota castanea,2347,0.749,1881,0.03,0.014,0.06
Russula versicolor,1768,0.638,1931,0.03,0.012,0.067
Russula violeipes,2250,0.814,1876,0.03,0.014,0.061
Wilcoxina rehmii,641,0.914,1985,0.03,0.012,0.069
Russula parvovirescens,413,1,2006,0.03,0.012,0.071
Hygrophorus agathosmus,3821,0.708,1815,0.03,0.01,0.071
Laccaria tetraspora,1434,0.673,1947,0.03,0.012,0.069
Clavulina cinerea,4633,0.673,1788,0.03,0.008,0.084
Entoloma sericellum,3895,0.791,1796,0.031,0.009,0.077
Inocybe lacera,4247,0.577,1821,0.031,0.01,0.075
Cortinarius cinnamomeus,5648,0.647,1753,0.031,0.006,0.109
Lactifluus volemus,5339,0.656,1763,0.031,0.006,0.101
Mutinus elegans,2206,0.944,1856,0.031,0.014,0.063
Skeletocutis nivea,3330,0.692,1839,0.031,0.012,0.065
Agrocybe pediades,4426,0.703,1789,0.031,0.009,0.084
Legaliana badia,5104,0.564,1790,0.031,0.008,0.09
Gliophorus irrigatus,3479,0.86,1801,0.031,0.01,0.075
Entoloma corvinum,981,0.873,1954,0.031,0.013,0.067
Leccinum holopus,3303,0.814,1818,0.031,0.011,0.07
Caloboletus calopus,4451,0.769,1774,0.031,0.008,0.089
Tricholoma viridilutescens,831,0.792,1978,0.031,0.012,0.072
Cuphophyllus russocoriaceus,2479,0.887,1848,0.031,0.014,0.064
Armillaria gallica,1871,0.877,1886,0.031,0.014,0.063
Parasola plicatilis,4172,0.761,1787,0.031,0.009,0.083
Conocybe aporos,1063,0.69,1970,0.031,0.012,0.074
Pholiota flammans,4323,0.743,1783,0.031,0.008,0.086
Russula sanguinea,4139,0.794,1781,0.032,0.009,0.085
Tricholoma portentosum,3746,0.672,1821,0.032,0.011,0.072
Protostropharia alcis,547,0.868,1999,0.032,0.012,0.073
Cortinarius camphoratus,4321,0.786,1774,0.032,0.008,0.09
Humaria hemisphaerica,4724,0.667,1780,0.032,0.008,0.092
Agaricus urinascens,1525,0.664,1938,0.032,0.013,0.07
Tricholoma inamoenum,3567,0.746,1815,0.032,0.011,0.073
Russula atrorubens,2147,0.677,1898,0.032,0.014,0.065
Russula rosea,4213,0.69,1796,0.032,0.009,0.083
Cortinarius umbrinolens,758,0.81,1980,0.032,0.013,0.074
Hydnellum suaveolens,4338,0.778,1772,0.033,0.008,0.093
Hebeloma incarnatulum,935,0.644,1984,0.033,0.012,0.081
Suillus americanus,2457,0.629,1887,0.033,0.014,0.067
Phlegmacium percome,2686,0.851,1838,0.033,0.014,0.067
Tricholoma ustale,3305,0.781,1818,0.033,0.012,0.073
Mycena metata,3730,0.758,1801,0.033,0.011,0.08
Trichoderma gelatinosum,447,0.931,2003,0.033,0.013,0.075
Cortinarius infractus,3591,0.793,1800,0.033,0.011,0.081
Poriella subacida,3383,0.37,1885,0.033,0.012,0.084
Ganoderma adspersum,2066,0.809,1878,0.033,0.016,0.066
Conocybe apala,3205,0.797,1818,0.033,0.012,0.074
Entoloma vernum,1477,0.664,1937,0.033,0.014,0.072
Parasola leiocephala,861,0.798,1969,0.033,0.013,0.074
Pluteus salicinus,3708,0.767,1798,0.034,0.011,0.082
Cystoderma jasonis,1943,0.784,1888,0.034,0.016,0.066
Pluteus pouzarianus,608,0.9,1983,0.034,0.014,0.075
Pluteus romellii,2806,0.793,1838,0.034,0.014,0.069
Lycoperdon nigrescens,3889,0.741,1794,0.034,0.01,0.085
Cerioporus leptocephalus,4351,0.716,1778,0.034,0.009,0.095
Clavulinopsis laeticolor,2401,0.738,1868,0.034,0.016,0.067
Pleurotus citrinopileatus,918,0.949,1943,0.034,0.015,0.071
Psilocybe semilanceata,3370,0.739,1818,0.034,0.012,0.076
Sistotrema brinkmannii,2396,0.52,1903,0.034,0.014,0.077
Hygrocybe helobia,1336,0.897,1913,0.034,0.016,0.067
Phlegmacium balteatocumatile,973,0.826,1953,0.034,0.015,0.073
Cortinarius venetus,2969,0.853,1818,0.034,0.013,0.075
Hygrophorus pustulatus,3650,0.752,1801,0.034,0.011,0.083
Mycena crocata,3392,0.861,1794,0.034,0.011,0.084
Trichoderma pulvinatum,2212,0.774,1870,0.035,0.017,0.068
Eutypella sorbi,3079,0.875,1805,0.035,0.013,0.082
Scytinostroma portentosum,2466,0.667,1873,0.035,0.016,0.07
Macrolepiota mastoidea,3377,0.798,1803,0.035,0.012,0.083
Ductifera pululahuana,1675,0.846,1893,0.035,0.017,0.069
Suillus caerulescens,902,0.774,1964,0.035,0.015,0.077
Hyphoderma setigerum,4514,0.43,1822,0.035,0.011,0.093
Entocybe nitida,2030,0.758,1883,0.035,0.017,0.068
Skeletocutis stellae,1239,0.642,1953,0.035,0.014,0.079
Mycena arcangeliana,1764,0.829,1889,0.035,0.017,0.069
Trichoderma harzianum,2044,0.446,1930,0.035,0.013,0.087
Auricularia cornea,2566,0.947,1820,0.036,0.014,0.078
Russula badia,1984,0.782,1881,0.036,0.017,0.069
Hygrocybe ingrata,906,0.911,1945,0.036,0.016,0.074
Lactarius fuliginosus,3552,0.644,1821,0.036,0.013,0.081
Clitocybe rivulosa,3980,0.649,1801,0.036,0.011,0.089
Radulomyces confluens,4056,0.549,1815,0.036,0.012,0.089
Osteina undosa,1789,0.84,1883,0.036,0.017,0.07
Junghuhnia nitida,4015,0.636,1800,0.036,0.011,0.091
Geoglossum umbratile,1964,0.795,1878,0.037,0.017,0.071
Xylodon brevisetus,2524,0.544,1886,0.037,0.015,0.078
Galerina clavata,1574,0.673,1921,0.037,0.016,0.075
Mycena acicula,3868,0.807,1774,0.037,0.01,0.099
Pleurocybella porrigens,3740,0.716,1796,0.037,0.012,0.091
Peniophora limitata,3370,0.784,1801,0.037,0.013,0.087
Athelia arachnoidea,2716,0.729,1844,0.037,0.016,0.073
Cortinarius evernius,3267,0.718,1818,0.037,0.014,0.081
Mutinus caninus,3966,0.757,1778,0.037,0.01,0.099
Antrodiella pallescens,1510,0.77,1911,0.037,0.017,0.072
Steccherinum fimbriatum,3973,0.657,1796,0.037,0.011,0.094
Abortiporus biennis,4225,0.724,1772,0.037,0.01,0.105
Crustoderma corneum,1086,0.889,1928,0.037,0.017,0.074
Diatrypella quercina,3456,0.791,1794,0.037,0.012,0.09
Agrocybe rivulosa,351,0.997,2003,0.037,0.015,0.083
Cortinarius malicorius,2921,0.693,1838,0.037,0.015,0.076
Encoelia furfuracea,3539,0.733,1800,0.038,0.012,0.089
Trametes pubescens,4796,0.475,1794,0.038,0.01,0.109
Morchella rufobrunnea,405,0.951,1998,0.038,0.016,0.083
Mycena rubromarginata,3068,0.777,1815,0.038,0.014,0.084
Flammula alnicola,3892,0.68,1792,0.038,0.011,0.098
Cortinarius alboviolaceus,3766,0.663,1801,0.038,0.012,0.092
Lachnum virgineum,4530,0.584,1783,0.038,0.01,0.108
Lactarius hepaticus,1472,0.813,1905,0.038,0.018,0.073
Gymnopus brassicolens,1031,0.849,1936,0.038,0.017,0.077
Cortinarius sommerfeltii,849,0.608,1984,0.038,0.014,0.093
Neolentinus lepideus,4442,0.647,1774,0.038,0.009,0.109
Steccherinum robustius,778,0.911,1953,0.038,0.017,0.079
Cortinarius vernus,624,0.841,1979,0.038,0.016,0.083
Entoloma medianox,280,1,2015,0.038,0.016,0.085
Diatrype disciformis,4092,0.657,1787,0.038,0.011,0.101
Tricholoma virgatum,3398,0.654,1818,0.039,0.014,0.086
Laurilia sulcata,1957,0.609,1902,0.039,0.017,0.078
Pleurotus dryinus,3433,0.741,1800,0.039,0.013,0.091
Paxillus rubicundulus,757,0.793,1969,0.039,0.016,0.082
Amanita bisporigera,1512,0.775,1906,0.039,0.019,0.074
Russula pectinatoides,1686,0.683,1907,0.039,0.018,0.077
Hebeloma sinapizans,3677,0.735,1789,0.039,0.012,0.098
Hygrophorus eburneus,4050,0.688,1780,0.039,0.011,0.106
Lactarius mammosus,2859,0.683,1838,0.039,0.016,0.079
Inocybe asterospora,2243,0.633,1880,0.039,0.018,0.077
Entoloma hebes,897,0.789,1954,0.039,0.017,0.081
Cerrena hydnoides,4045,0.647,1788,0.039,0.011,0.103
Tylopilus rubrobrunneus,764,0.793,1967,0.039,0.017,0.083
Hypoxylon rubiginosum,4670,0.437,1801,0.039,0.011,0.111
Entoloma cetratum,3322,0.663,1818,0.039,0.014,0.087
Mycena clarkeana,370,0.986,1997,0.04,0.017,0.086
Scleroderma verrucosum,3992,0.636,1791,0.04,0.012,0.102
Boletus rubriceps,273,1,2014,0.04,0.016,0.087
Cortinarius varius,3502,0.852,1774,0.04,0.011,0.106
Calcipostia guttulata,1946,0.772,1874,0.04,0.02,0.076
Russula aurea,3579,0.779,1783,0.04,0.012,0.101
Lactarius leonis,543,0.856,1984,0.04,0.017,0.086
Clitocybe phyllophila,3745,0.641,1800,0.04,0.013,0.098
Corticium roseum,3733,0.672,1794,0.04,0.012,0.101
Pseudoinonotus dryadeus,3076,0.818,1800,0.04,0.014,0.093
Rhodofomes cajanderi,2204,0.471,1904,0.041,0.017,0.091
Pholiota lenta,3516,0.682,1801,0.041,0.013,0.097
Lactarius aquizonatus,598,0.784,1984,0.041,0.017,0.088
Junghuhnia collabens,1938,0.76,1874,0.041,0.02,0.078
Coniophora puteana,4119,0.532,1801,0.041,0.012,0.105
Hortiboletus rubellus,3399,0.709,1801,0.041,0.014,0.096
Crepidotus calolepis,1910,0.776,1873,0.041,0.02,0.077
Daedaleopsis tricolor,3103,0.846,1792,0.041,0.014,0.098
Tyromyces chioneus,4069,0.542,1801,0.041,0.012,0.104
Cantharellus amethysteus,1657,0.824,1883,0.041,0.02,0.078
Typhula fistulosa,3226,0.818,1790,0.041,0.013,0.099
Daldinia petriniae,591,0.673,1997,0.042,0.016,0.097
Inocybe nitidiuscula,1847,0.68,1891,0.042,0.02,0.079
Nemania serpens,3902,0.65,1787,0.042,0.012,0.108
Lepista personata,2999,0.721,1818,0.042,0.016,0.089
Peniophora cinerea,4661,0.44,1794,0.042,0.011,0.119
Cortinarius collinitus,3638,0.666,1796,0.042,0.013,0.102
Geastrum pectinatum,3321,0.72,1801,0.042,0.014,0.097
Tricholoma ustaloides,904,0.742,1954,0.042,0.018,0.087
Biscogniauxia repanda,2655,0.845,1815,0.042,0.017,0.09
Marasmius bulliardii,1694,0.829,1878,0.042,0.021,0.079
Cortinarius hemitrichus,3465,0.676,1801,0.042,0.014,0.099
Lactarius semisanguifluus,990,0.701,1950,0.043,0.019,0.088
Lepiota subincarnata,916,0.836,1940,0.043,0.02,0.085
Phellinus robiniae,1422,0.786,1903,0.043,0.021,0.08
Cortinarius obtusus,3201,0.63,1821,0.043,0.016,0.093
Bovista nigrescens,4090,0.554,1794,0.043,0.012,0.111
Cortinarius flexipes,3212,0.734,1801,0.043,0.015,0.099
Inosperma cookei,1827,0.662,1892,0.043,0.021,0.082
Pholiota gummosa,2616,0.763,1828,0.043,0.018,0.088
Inocybe fuscidula,1327,0.709,1920,0.043,0.02,0.084
Clavaria zollingeri,2059,0.861,1846,0.043,0.02,0.083
Steccherinum bourdotii,479,0.854,1988,0.043,0.018,0.092
Cortinarius largus,2342,0.799,1838,0.043,0.02,0.084
Pleurotus populinus,383,0.945,1993,0.043,0.019,0.092
Leptosphaeria acuta,2996,0.735,1811,0.044,0.016,0.095
Connopus acervatus,3223,0.608,1821,0.044,0.016,0.096
Crepidotus caspari,1319,0.66,1926,0.044,0.02,0.087
Stropharia hornemannii,3354,0.682,1801,0.044,0.015,0.102
Rhytisma americanum,322,0.997,1998,0.044,0.019,0.094
Clavulinopsis fusiformis,3217,0.73,1799,0.044,0.015,0.102
Xylodon flaviporus,1937,0.642,1886,0.044,0.021,0.084
Marasmius wettsteinii,1482,0.847,1887,0.044,0.022,0.082
Mycena viridimarginata,1522,0.787,1892,0.044,0.022,0.082
Galerina atkinsoniana,938,0.691,1953,0.044,0.019,0.092
Tricholoma imbricatum,3073,0.678,1815,0.044,0.017,0.096
Crepidotus variabilis,3447,0.69,1794,0.044,0.014,0.107
Resiniporus resinascens,1432,0.698,1911,0.044,0.021,0.085
Russula nana,1193,0.627,1939,0.044,0.019,0.092
Neohygrocybe nitrata,2846,0.825,1801,0.045,0.016,0.1
Sparassis americana,252,0.984,2013,0.045,0.019,0.095
Lepista sordida,2966,0.769,1803,0.045,0.016,0.101
Craterellus undulatus,3237,0.763,1790,0.045,0.015,0.106
Mycena silvae-nigrae,473,0.844,1987,0.045,0.02,0.095
Cortinarius laniger,2400,0.748,1838,0.045,0.02,0.087
Mycena olivaceomarginata,1492,0.801,1890,0.045,0.023,0.084
Tubaria conspersa,2973,0.77,1800,0.046,0.017,0.104
Penttilamyces romellii,701,0.662,1978,0.046,0.019,0.101
Phellodon fuligineoalbus,2607,0.793,1817,0.046,0.019,0.097
Russula firmula,1021,0.705,1940,0.046,0.021,0.092
Phlegmacium glaucopus,3563,0.743,1774,0.046,0.013,0.12
Amanita ceciliae,2260,0.685,1854,0.046,0.022,0.088
Russula pelargonia,914,0.771,1941,0.047,0.022,0.091
Antrodia heteromorpha,3443,0.542,1815,0.047,0.016,0.108
Suillus cavipes,2857,0.593,1835,0.047,0.019,0.096
Mensularia nodulosa,2253,0.782,1838,0.047,0.021,0.09
Hygrocybe singeri,583,0.971,1954,0.047,0.022,0.095
Naucoria escharioides,2874,0.684,1818,0.047,0.018,0.099
Russula graveolens,1539,0.809,1882,0.047,0.024,0.086
Hypoxylon howeanum,2127,0.687,1860,0.047,0.023,0.089
Climacodon septentrionalis,2785,0.694,1821,0.047,0.019,0.098
Cortinarius caesiocanescens,641,0.92,1952,0.047,0.022,0.093
Xerocomus ferrugineus,3102,0.923,1763,0.048,0.013,0.13
Morchella snyderi,239,0.987,2012,0.048,0.021,0.1
Cortinarius subbalaustinus,500,0.74,1991,0.048,0.02,0.102
Suillus spraguei,1933,0.682,1872,0.048,0.024,0.088
Inonotus hispidus,3688,0.703,1772,0.048,0.013,0.127
Panus conchatus,3617,0.709,1774,0.048,0.014,0.125
Auricularia angiospermarum,231,0.97,2015,0.048,0.021,0.1
Atheliachaete sanguinea,2925,0.596,1828,0.048,0.019,0.101
Radulomyces copelandii,958,0.927,1914,0.048,0.024,0.091
Leptoporus mollis,2808,0.819,1796,0.048,0.017,0.109
Armillaria cepistipes,1028,0.828,1920,0.048,0.024,0.089
Neoboletus praestigiator,952,0.86,1923,0.048,0.024,0.09
Inocybe sindonia,2327,0.734,1838,0.049,0.022,0.092
Entoloma lividocyanulum,723,0.804,1954,0.049,0.022,0.096
Mitrula paludosa,3783,0.647,1775,0.049,0.013,0.13
Entoloma serrulatum,3045,0.777,1789,0.049,0.016,0.113
Cystolepiota seminuda,2396,0.766,1828,0.049,0.021,0.097
Psilocybe cubensis,1187,0.819,1906,0.049,0.025,0.089
Britzelmayria multipedata,1163,0.841,1905,0.049,0.025,0.089
Auricularia americana,409,0.885,1987,0.049,0.022,0.1
Hyphodontia pallidula,1893,0.477,1903,0.049,0.021,0.104
Gymnopus fusipes,3429,0.742,1774,0.049,0.015,0.125
Idriella lunata,589,0.913,1956,0.05,0.023,0.098
Xylaria carpophila,2778,0.802,1796,0.05,0.018,0.113
Hydnellum glaucopus,626,0.752,1969,0.051,0.022,0.102
Russula virescens,3529,0.7,1774,0.051,0.015,0.13
Tulasnella violea,1816,0.625,1883,0.051,0.025,0.095
Mycena filopes,3159,0.723,1788,0.051,0.017,0.12
Pholiota populnea,2214,0.811,1828,0.051,0.023,0.099
Calonarius aureofulvus,704,0.811,1952,0.051,0.024,0.099
Ganoderma curtisii,2051,0.741,1849,0.051,0.025,0.094
Ileodictyon cibarium,1632,0.965,1844,0.051,0.024,0.101
Lepiota clypeolaria,3924,0.599,1772,0.051,0.013,0.141
Russula faginea,625,0.762,1967,0.051,0.023,0.102
Hygrocybe calciphila,436,0.906,1977,0.051,0.023,0.102
Gomphus clavatus,3174,0.751,1781,0.051,0.016,0.124
Hebeloma sacchariolens,1669,0.702,1880,0.052,0.026,0.093
Agaricus moelleri,1161,0.772,1910,0.052,0.026,0.093
Scleroderma bovista,2563,0.664,1829,0.052,0.022,0.103
Russula silvestris,1051,0.735,1924,0.052,0.025,0.096
Hyphodontia alutaria,1280,0.576,1926,0.052,0.023,0.105
Collybia cirrhata,3312,0.671,1786,0.052,0.017,0.127
Onnia tomentosa,2760,0.638,1821,0.052,0.021,0.108
Leucoagaricus americanus,1693,0.731,1872,0.053,0.027,0.095
Amanita parcivolvata,1096,0.879,1900,0.053,0.027,0.095
Russula pseudointegra,1167,0.777,1907,0.053,0.027,0.094
Porphyrellus porphyrosporus,2111,0.786,1835,0.053,0.024,0.1
Kurtia argillacea,1650,0.573,1898,0.053,0.025,0.101
Entoloma abortivum,1862,0.735,1859,0.053,0.027,0.096
Cortinarius casimirii,948,0.823,1921,0.053,0.026,0.096
Thaxterogaster vibratilis,2530,0.709,1821,0.053,0.022,0.106
Armillaria sinapina,363,0.901,1988,0.053,0.024,0.106
Mycena flavescens,956,0.823,1920,0.053,0.027,0.096
Gymnopus androsaceus,4102,0.632,1753,0.053,0.012,0.162
Tricholoma focale,2012,0.801,1838,0.053,0.025,0.1
Macrocystidia cucumis,2867,0.736,1796,0.053,0.019,0.119
Lactifluus piperatus,4252,0.591,1753,0.054,0.012,0.166
Hygrophorus camarophyllus,3354,0.722,1772,0.054,0.016,0.136
Daldinia childiae,525,0.566,1999,0.054,0.021,0.126
Mycena aetites,1972,0.814,1838,0.054,0.025,0.1
Bjerkandera fumosa,4010,0.557,1770,0.054,0.014,0.15
Leratiomyces percevalii,1222,0.931,1879,0.054,0.028,0.099
Botryobasidium vagum,2727,0.312,1873,0.054,0.02,0.127
Xenasmatella vaga,2910,0.586,1818,0.054,0.021,0.115
Diplomitoporus crustulinus,1096,0.669,1925,0.054,0.026,0.103
Gyroporus castaneus,3277,0.648,1788,0.054,0.017,0.13
Amphinema byssoides,3635,0.474,1801,0.054,0.017,0.135
Marasmius wynneae,2255,0.707,1835,0.055,0.025,0.104
Cortinarius persplendidus,421,0.834,1983,0.055,0.025,0.108
Inosperma maculatum,1664,0.633,1885,0.055,0.028,0.099
Ramaria brunneicontusa,311,0.968,1989,0.055,0.025,0.11
Hydnellum geogenium,1815,0.783,1852,0.055,0.027,0.099
Lactarius pallidus,2779,0.742,1797,0.055,0.02,0.121
Hypoxylon macrocarpum,425,0.868,1978,0.055,0.026,0.108
Scopuloides rimosa,1443,0.766,1881,0.055,0.029,0.099
Mutinus ravenelii,1547,0.899,1853,0.056,0.028,0.103
Cystinarius rubicundulus,1259,0.788,1893,0.056,0.029,0.099
Xylodon nesporii,1115,0.679,1920,0.056,0.027,0.103
Gymnosporangium clavariiforme,4590,0.489,1753,0.056,0.012,0.18
Mollisia cinerea,3536,0.585,1783,0.056,0.017,0.141
Lentaria byssiseda,724,0.749,1950,0.056,0.027,0.106
Lactarius evosmus,655,0.791,1953,0.056,0.027,0.107
Mycena subgalericulata,690,0.938,1931,0.056,0.028,0.105
Amanita pachycolea,403,0.854,1982,0.056,0.026,0.111
Calonarius sulfurinus,1136,0.925,1884,0.056,0.029,0.103
Bondarzewia berkeleyi,1783,0.787,1851,0.056,0.028,0.101
Galerina paludosa,2372,0.623,1838,0.057,0.025,0.11
Leccinum piceinum,410,0.907,1974,0.057,0.027,0.111
Gloeoporus pannocinctus,1274,0.63,1911,0.057,0.028,0.106
Coniophora arida,2974,0.473,1828,0.057,0.022,0.125
Russula brunneoviolacea,930,0.716,1930,0.057,0.028,0.106
Tubulicrinis subulatus,1639,0.421,1913,0.057,0.024,0.125
Cortinarius elatior,2217,0.67,1838,0.058,0.027,0.109
Pluteus exilis,287,0.986,1989,0.058,0.027,0.114
Psilocybe cyanescens,653,0.833,1946,0.058,0.029,0.108
Phlebiopsis gigantea,3467,0.52,1794,0.058,0.018,0.142
Mycena cinerella,1496,0.73,1878,0.058,0.031,0.102
Cuphophyllus fornicatus,1827,0.834,1838,0.058,0.028,0.107
Cortinarius fervidus,579,0.758,1964,0.058,0.027,0.111
Cortinarius gentilis,3011,0.603,1801,0.059,0.021,0.132
Inocybe flocculosa,2303,0.638,1836,0.059,0.026,0.112
Paragalactinia succosa,2245,0.627,1841,0.059,0.027,0.112
Morchella diminutiva,195,0.964,2013,0.059,0.027,0.116
Russula luteotacta,1004,0.705,1922,0.059,0.029,0.107
Melanoleuca cognata,1653,0.665,1874,0.059,0.031,0.104
Rhytisma salicinum,4077,0.349,1794,0.059,0.016,0.162
Panaeolus acuminatus,2951,0.776,1774,0.059,0.019,0.144
Mycena meliigena,1184,0.907,1878,0.059,0.031,0.106
Mycena purpureofusca,1611,0.802,1857,0.059,0.031,0.105
Coprinopsis acuminata,732,0.695,1951,0.059,0.028,0.114
Tapinella panuoides,3187,0.589,1793,0.059,0.02,0.139
Helvella macropus,3480,0.586,1778,0.06,0.017,0.151
Pachykytospora tuberculosa,2098,0.838,1815,0.06,0.026,0.12
Scytinostroma hemidichophyticum,474,0.852,1966,0.06,0.029,0.114
Peniophora rufa,2524,0.588,1828,0.06,0.025,0.121
Clavaria amoenoides,489,0.916,1956,0.061,0.03,0.114
Collybia tuberosa,3299,0.584,1786,0.061,0.019,0.147
Geastrum striatum,2709,0.656,1805,0.061,0.023,0.13
Mycena pelianthina,2671,0.771,1788,0.061,0.022,0.134
Entoloma papillatum,1184,0.825,1887,0.061,0.032,0.106
Trichoderma virens,702,0.65,1958,0.061,0.028,0.121
Leucopaxillus gentianeus,1425,0.774,1873,0.061,0.032,0.107
Hypholoma radicosum,1161,0.57,1923,0.061,0.029,0.117
Phellodon violascens,2409,0.764,1805,0.061,0.025,0.127
Cytidia salicina,2802,0.527,1821,0.061,0.024,0.131
Cortinarius salor,1692,0.865,1838,0.061,0.03,0.113
Cyathus olla,3335,0.583,1783,0.061,0.019,0.15
Cortinarius sanguineus,3103,0.715,1772,0.061,0.019,0.15
Russula cerolens,411,0.878,1972,0.061,0.03,0.116
Trichoderma longibrachiatum,658,0.597,1969,0.062,0.027,0.128
Craterellus ignicolor,437,0.808,1975,0.062,0.029,0.118
Verpa bohemica,2130,0.724,1828,0.062,0.028,0.117
Cortinarius agathosmus,371,0.782,1989,0.062,0.029,0.12
Russula aurora,1798,0.761,1845,0.062,0.031,0.111
Annulohypoxylon thouarsianum,1661,0.822,1846,0.062,0.031,0.111
Calonarius olearioides,558,0.776,1960,0.062,0.03,0.117
Cortinarius variecolor,2315,0.813,1801,0.062,0.025,0.13
Cortinarius suberi,288,0.924,1990,0.062,0.03,0.121
Russula albonigra,1919,0.699,1845,0.062,0.031,0.113
Russula clavipes,789,0.863,1920,0.063,0.033,0.111
Cyanoboletus pulverulentus,1960,0.738,1836,0.063,0.03,0.114
Geastrum saccatum,2399,0.602,1829,0.063,0.027,0.123
Cudonia circinans,2875,0.647,1794,0.063,0.022,0.14
Galerina calyptrata,892,0.454,1960,0.063,0.025,0.142
Subulicystidium longisporum,1543,0.544,1894,0.063,0.031,0.118
Peziza varia,2617,0.762,1789,0.063,0.023,0.138
Clitocybe vibecina,2451,0.648,1818,0.063,0.026,0.126
Coprinopsis variegata,1089,0.972,1873,0.063,0.033,0.115
Neolentinus ponderosus,479,0.823,1965,0.063,0.031,0.118
Suillellus queletii,1325,0.721,1885,0.063,0.034,0.109
Trichoglossum hirsutum,3030,0.573,1797,0.063,0.022,0.144
Serpula himantioides,2416,0.754,1802,0.063,0.025,0.133
Resinicium bicolor,2951,0.547,1805,0.063,0.023,0.141
Pholiota aurivella,2546,0.801,1786,0.064,0.023,0.142
Amanita rhacopus,155,0.994,2018,0.064,0.029,0.124
Lachnellula occidentalis,1029,0.546,1934,0.064,0.029,0.126
Dumontinia tuberosa,2915,0.652,1789,0.064,0.022,0.145
Tuber anniae,246,0.939,1997,0.064,0.03,0.123
